,round,day_week,date,hour,home,goal_home,goal_away,away,public,stadium,referee,number_match
342,35,sat,2016-04-23,15:00,Bournemouth,1,4,Chelsea,11.365,Vitality Stadium,Roger East,12455
343,35,sat,2016-04-23,15:00,Liverpool,2,2,Newcastle Utd,43.837,Anfield,Andre Marriner,12456
344,35,dom,2016-04-24,14:05,Sunderland,0,0,Arsenal,45.420,Stadium of Light,Mike Dean,12459
345,35,dom,2016-04-24,16:15,Leicester City,4,0,Swansea City,31.962,King Power Stadium,Mark Clattenburg,12458
346,35,mon,2016-04-25,20:00,Tottenham,1,1,West Brom,35.923,White Hart Lane,Mike Jones,12460
347,36,sat,2016-04-30,15:00,Everton,2,1,Bournemouth,38.345,Goodison Park,Niel Swarbrick,12417
348,36,sat,2016-04-30,15:00,Watford,3,2,Aston Villa,20.653,Vicarage Road Stadium,Anthony Taylor,12465
349,36,sat,2016-04-30,15:00,West Brom,0,3,West Ham,25.031,The Hawthorns,Lee Mason,12466
350,36,sat,2016-04-30,15:00,Stoke City,1,1,Sunderland,27.667,Bet365 Stadium,Craig Pawson,12464
351,36,sat,2016-04-30,15:00,Newcastle Utd,1,0,Crystal Palace,52.107,St. James' Park,Mike Dean,12463
352,36,sat,2016-04-30,17:30,Arsenal,1,0,Norwich City,59.989,Emirates Stadium,Mike Jones,12461
353,36,dom,2016-05-01,12:00,Swansea City,3,1,Liverpool,20.972,Liberty Stadium,Roger East,12469
354,36,dom,2016-05-01,14:05,Manchester Utd,1,1,Leicester City,75.275,Old Trafford,Michael Oliver,12467
355,36,dom,2016-05-01,16:30,Southampton,4,2,Manchester City,31.472,St. Mary's Stadium,Andre Marriner,12468
356,36,mon,2016-05-02,20:00,Chelsea,2,2,Tottenham,41.545,Stamford Bridge,Mark Clattenburg,12470
357,37,sat,2016-05-07,12:45,Norwich City,0,1,Manchester Utd,27.132,Carrow Road,Craig Pawson,12475
358,37,sat,2016-05-07,15:00,Bournemouth,1,1,West Brom,11.040,Vitality Stadium,Mark Clattenburg,12472
359,37,sat,2016-05-07,15:00,Sunderland,3,2,Chelsea,47.050,Stadium of Light,Mike Jones,12476
360,37,sat,2016-05-07,15:00,Aston Villa,0,0,Newcastle Utd,33.055,Villa Park,Robert Madley,12471
361,37,sat,2016-05-07,15:00,West Ham,1,4,Swansea City,34.907,Boleyn Ground,Michael Oliver,12477
362,37,sat,2016-05-07,15:00,Crystal Palace,2,1,Stoke City,23.990,Selhurst Park,Kevin Friend,12473
363,37,sat,2016-05-07,17:30,Leicester City,3,1,Everton,32.140,King Power Stadium,Andre Marriner,12474
364,37,dom,2016-05-08,13:30,Tottenham,1,2,Southampton,35.748,White Hart Lane,Jonathan Moss,12480
365,37,dom,2016-05-08,16:00,Liverpool,2,0,Watford,43.341,Anfield,Lee Mason,12478
366,37,dom,2016-05-08,16:00,Manchester City,2,2,Arsenal,54.425,Etihad Stadium,Anthony Taylor,12479
367,35,tue,2016-05-10,20:30,West Ham,3,2,Manchester Utd,34.602,Boleyn Ground,Mike Dean,12481
368,30,wed,2016-05-11,19:45,Sunderland,3,0,Everton,46.454,Stadium of Light,Anthony Taylor,12484
369,35,wed,2016-05-11,19:45,Norwich City,4,2,Watford,26.279,Carrow Road,Roger East,12483
370,30,wed,2016-05-11,20:00,Liverpool,1,1,Chelsea,43.210,Anfield,Michael Oliver,12482
371,38,dom,2016-05-15,15:00,Southampton,4,1,Crystal Palace,31.313,St. Mary's Stadium,Michael Oliver,12489
372,38,dom,2016-05-15,15:00,Newcastle Utd,5,1,Tottenham,52.183,St. James' Park,Anthony Taylor,12488
373,38,dom,2016-05-15,15:00,Swansea City,1,1,Manchester City,20.934,Liberty Stadium,Mike Dean,12491
374,38,dom,2016-05-15,15:00,West Brom,1,1,Liverpool,26.196,The Hawthorns,Robert Madley,12493
375,38,dom,2016-05-15,15:00,Watford,2,2,Sunderland,21.012,Vicarage Road Stadium,Kevin Friend,12492
376,38,dom,2016-05-15,15:00,Chelsea,1,1,Leicester City,41.494,Stamford Bridge,Craig Pawson,12486
377,38,dom,2016-05-15,15:00,Everton,3,0,Norwich City,36.691,Goodison Park,Lee Mason,12487
378,38,dom,2016-05-15,15:00,Arsenal,4,0,Aston Villa,60.007,Emirates Stadium,Mark Clattenburg,12485
379,38,dom,2016-05-15,15:00,Stoke City,2,1,West Ham,27.721,Bet365 Stadium,Mike Jones,12490
380,38,tue,2016-05-17,20:00,Manchester Utd,3,1,Bournemouth,74.363,Old Trafford,Jonathan Moss,12494
